wavelength,absorbance,bonds
1060.846304,0.011117,C-O
1062.775116,0.011989,C-O
1064.703927,0.012657,C-O
1066.632739,0.013029,C-O
1068.56155,0.013208,C-O
1070.490362,0.013347,C-O
1072.419173,0.013421,C-O
1074.347985,0.013408,C-O
1076.276796,0.013378,C-O
1078.205607,0.013397,C-O
1080.134419,0.013432,C-O
1082.06323,0.013408,C-O
1083.992042,0.013471,C-O
1085.920853,0.013901,C-O
1087.849665,0.01462,C-O
1089.778476,0.015176,C-O
1091.707288,0.015046,C-O
1093.636099,0.013846,C-O
1095.564911,0.011579,C-O
1097.493722,0.008683,C-O
1099.422534,0.005852,C-O
1101.351345,0.003638,C-O
1103.280156,0.0022,C-O
1105.208968,0.001368,C-O
1107.137779,0.000825,C-O
1109.066591,0.000423,C-O
1110.995402,0.000161,C-O
1112.924214,0.00009,C-O
1114.853025,0.000064,C-O
1116.781837,0.000052,C-O
1118.710648,0.000066,C-O
1120.63946,0.000135,C-O
1122.568271,0.000267,C-O
1124.497083,0.000433,C-O
1126.425894,0.000638,C-O
1128.354706,0.001003,C-O
1130.283517,0.001608,C-O
1132.212328,0.00245,C-O
1134.14114,0.003603,C-O
1136.069951,0.005082,C-O
1137.998763,0.006677,C-O
1139.927574,0.008113,C-O
1141.856386,0.009097,C-O
1143.785197,0.009459,C-O
1145.714009,0.009152,C-O
1147.64282,0.007865,C-O
1149.571632,0.005653,C-O
1151.500443,0.003431,C-O
1153.429255,0.0019,C-O
1155.358066,0.001069,C-O
1157.286877,0.000658,C-O
1159.215689,0.000397,C-O
1161.1445,0.000231,C-O
1163.073312,0.000141,C-O
1165.002123,0.000086,C-O
1166.930935,0.00006,C-O
1168.859746,0.000034,C-O
1170.788558,0.000035,C-O
1172.717369,0.000084,C-O
1174.646181,0.000157,C-O
1176.574992,0.000256,C-O
1178.503804,0.00037,C-O
1180.432615,0.000459,C-O
1182.361426,0.000545,C-O
1184.290238,0.000673,C-O
1186.219049,0.000877,C-O
1188.147861,0.001245,C-O
1190.076672,0.001873,C-O
1192.005484,0.002873,C-O
1193.934295,0.004056,C-O
1195.863107,0.004684,C-O
1197.791918,0.004326,C-O
1199.72073,0.00339,C-O
1201.649541,0.002426,C-O
1203.578353,0.001679,C-O
1205.507164,0.001197,C-O
1207.435975,0.000877,C-O
1209.364787,0.000597,C-O
1211.293598,0.000359,C-O
1213.22241,0.0002,C-O
1215.151221,0.000118,C-O
1217.080033,0.000099,C-H
1219.008844,0.000111,C-H
1220.937656,0.000139,C-H
1222.866467,0.000173,C-H
1224.795279,0.000202,C-H
1226.72409,0.00022,C-H
1228.652902,0.000208,C-H
1230.581713,0.000154,C-H
1232.510524,0.000096,C-H
1234.439336,0.000062,C-H
1236.368147,0.000061,C-H
1238.296959,0.000061,C-H
1240.22577,0.000118,C-H
1242.154582,0.000229,C-H
1244.083393,0.00036,C-H
1246.012205,0.000528,C-H
1247.941016,0.000745,C-H
1249.869828,0.000982,C-H
1251.798639,0.00128,C-H
1253.727451,0.001641,C-H
1255.656262,0.001971,C-H
1257.585073,0.002279,C-H
1259.513885,0.002649,C-H
1261.442696,0.003125,C-H
1263.371508,0.003727,C-H
1265.300319,0.00434,C-H
1267.229131,0.004731,C-H
1269.157942,0.004738,C-H
1271.086754,0.004327,C-H
1273.015565,0.003751,C-H
1274.944377,0.003349,C-H
1276.873188,0.003026,C-H
1278.802,0.002504,C-H
1280.730811,0.00182,C-H
1282.659622,0.001236,C-H
1284.588434,0.000911,C-H
1286.517245,0.000802,C-H
1288.446057,0.000869,C-H
1290.374868,0.001096,C-H
1292.30368,0.001367,C-H
1294.232491,0.001644,C-H
1296.161303,0.001946,C-H
1298.090114,0.002133,C-H
1300.018926,0.002065,C-H
1301.947737,0.001746,C-H
1303.876549,0.001304,C-H
1305.80536,0.000928,C-H
1307.734172,0.000716,C-H
1309.662983,0.000682,C-H
1311.591794,0.000861,C-H
1313.520606,0.001263,C-H
1315.449417,0.001748,C-H
1317.378229,0.002115,C-H
1319.30704,0.002366,C-H
1321.235852,0.002466,C-H
1323.164663,0.002193,C-H
1325.093475,0.00165,C-H
1327.022286,0.001159,C-H
1328.951098,0.000823,C-H
1330.879909,0.000625,C-H
1332.808721,0.000581,C-H
1334.737532,0.000646,C-H
1336.666343,0.000724,C-H
1338.595155,0.000746,C-H
1340.523966,0.000694,C-H
1342.452778,0.000625,C-H
1344.381589,0.000601,C-H
1346.310401,0.000605,C-H
1348.239212,0.000628,C-H
1350.168024,0.000702,C-H
1352.096835,0.000801,C-H
1354.025647,0.000892,C-H
1355.954458,0.001011,C-H
1357.88327,0.001213,C-H
1359.812081,0.001472,C-H
1361.740892,0.001633,C-H
1363.669704,0.001737,C-H
1365.598515,0.001882,C-H
1367.527327,0.001914,C-H
1369.456138,0.002017,C-H
1371.38495,0.002384,C-H
1373.313761,0.002454,C-H
1375.242573,0.002023,C-H
1377.171384,0.001683,C-H
1379.100196,0.001554,C-H
1381.029007,0.001275,C-H
1382.957819,0.000838,C-H
1384.88663,0.00049,C-H
1386.815441,0.000277,C-H
1388.744253,0.000126,C-H
1390.673064,0.000042,C-H
1392.601876,0.000016,C-H
1394.530687,0.000006,C-H
1396.459499,0.000012,C-H
1398.38831,0.000021,C-H
1400.317122,0.000019,C-H
1402.245933,0.000009,C-H
1404.174745,-0.000033,C-H
1406.103556,-0.000103,C-H
1408.032368,-0.000162,C-H
1409.961179,-0.000187,C-H
1411.88999,-0.000186,C-H
1413.818802,-0.000166,C-H
1415.747613,-0.000136,C-H
1417.676425,-0.000096,C-H
1419.605236,-0.000077,C-H
1421.534048,-0.00006,C-H
1423.462859,-0.000053,C-H
1425.391671,-0.000068,C-H
1427.320482,-0.000051,C-H
1429.249294,-0.000042,C-H
1431.178105,-0.000065,C-H
1433.106917,-0.000047,C-H
1435.035728,-0.000016,C-H
1436.964539,-0.000042,C-H
1438.893351,-0.000074,C-H
1440.822162,-0.000055,C-H
1442.750974,-0.000049,C-H
1444.679785,-0.000081,C-H
1446.608597,-0.000092,C-H
1448.537408,-0.000086,C-H
1450.46622,-0.000098,C-H
1452.395031,-0.000114,C-H
1454.323843,-0.000083,C-H
1456.252654,-0.000055,C-H
1458.181466,-0.000084,C-H
1460.110277,-0.000091,C-H
1462.039089,-0.000062,C-H
1463.9679,-0.000066,C-H
1465.896711,-0.000102,C-H
1467.825523,-0.000117,C-H
1469.754334,-0.000079,C-H
1471.683146,-0.00005,C-H
1473.611957,-0.000066,C-H
1475.540769,-0.00007,C-H
1477.46958,-0.00007,C-H
1479.398392,-0.000103,C-H
1481.327203,-0.000097,C-H
1483.256015,-0.000037,C-H
1485.184826,-0.000013,C-H
1487.113638,-0.000016,C-H
1489.042449,-0.000017,C-H
1490.97126,-0.000031,C-H
1492.900072,-0.000037,
1494.828883,-0.000037,
1496.757695,-0.000056,
1498.686506,-0.000061,
1500.615318,-0.000042,
1502.544129,-0.000034,
1504.472941,-0.00004,
1506.401752,-0.000033,
1508.330564,-0.000033,
1510.259375,-0.000043,
1512.188187,-0.000019,
1514.116998,0.000014,
1516.045809,0.000016,
1517.974621,0.000031,
1519.903432,0.000041,
1521.832244,0.000035,
1523.761055,0.000073,
1525.689867,0.000108,
1527.618678,0.000101,
1529.54749,0.000096,
1531.476301,0.000101,
1533.405113,0.000114,
1535.333924,0.000134,
1537.262736,0.000129,
1539.191547,0.000095,
1541.120358,0.000073,C=O
1543.04917,0.000088,C=O
1544.977981,0.000125,C=O
1546.906793,0.000157,C=O
1548.835604,0.000162,C=O
1550.764416,0.000152,C=O
1552.693227,0.000156,C=O
1554.622039,0.000209,C=O
1556.55085,0.00027,C=O
1558.479662,0.00026,C=O
1560.408473,0.000239,C=O
1562.337285,0.000263,C=O
1564.266096,0.000312,C=O
1566.194907,0.000364,C=O
1568.123719,0.000399,C=O
1570.05253,0.000457,C=O
1571.981342,0.000522,C=O
1573.910153,0.000553,C=O
1575.838965,0.000641,C=O
1577.767776,0.000785,C=O
1579.696588,0.000921,C=O
1581.625399,0.001049,C=O
1583.554211,0.001178,C=O
1585.483022,0.001351,C=O
1587.411834,0.00156,C=O
1589.340645,0.001724,C=O
1591.269456,0.001859,C=O
1593.198268,0.001971,C=O
1595.127079,0.002048,C=O
1597.055891,0.002158,C=O
1598.984702,0.002284,C=O
1600.913514,0.002418,C=O
1602.842325,0.002586,C=O
1604.771137,0.00273,C=O
1606.699948,0.002923,C=O
1608.62876,0.003226,C=O
1610.557571,0.003648,C=O
1612.486383,0.004287,C=O
1614.415194,0.00529,C=O
1616.344005,0.006919,C=O
1618.272817,0.009686,C=O
1620.201628,0.01471,C=O
1622.13044,0.021867,C=O
1624.059251,0.02804,C=O
1625.988063,0.030111,C=O
1627.916874,0.02815,C=O
1629.845686,0.024548,C=O
1631.774497,0.021401,C=O
1633.703309,0.019157,C=O
1635.63212,0.017293,C=O
1637.560932,0.015371,C=O
1639.489743,0.013231,C=O
1641.418555,0.010936,C=O
1643.347366,0.008638,C=O
1645.276177,0.006539,C=O
1647.204989,0.004786,C=O
1649.1338,0.00343,C=O
1651.062612,0.002483,C=O
1652.991423,0.001853,C=O
1654.920235,0.001433,C=O
1656.849046,0.001172,C=O
1658.777858,0.001012,C=O
1660.706669,0.000882,C=O
1662.635481,0.000772,C=O
1664.564292,0.000711,C=O
1666.493104,0.000639,C=O
1668.421915,0.000552,C=O
1670.350726,0.000513,C=O
1672.279538,0.000476,C=O
1674.208349,0.000441,C=O
1676.137161,0.000442,C=O
1678.065972,0.000432,C=O
1679.994784,0.000397,C=O
1681.923595,0.000359,C=O
1683.852407,0.000338,C=O
1685.781218,0.000335,C=O
1687.71003,0.000314,C=O
1689.638841,0.00029,C=O
1691.567653,0.000267,C=O
1693.496464,0.000218,C=O
1695.425275,0.000189,C=O
1697.354087,0.000189,C=O
1699.282898,0.000188,C=O
1701.21171,0.000188,C=O
1703.140521,0.000171,C=O
1705.069333,0.000137,C=O
1706.998144,0.00011,C=O
1708.926956,0.000091,C=O
1710.855767,0.00009,C=O
1712.784579,0.000091,C=O
1714.71339,0.00007,C=O
1716.642202,0.000058,
1718.571013,0.000079,
1720.499824,0.000086,
1722.428636,0.000056,
1724.357447,0.000033,
1726.286259,0.000042,
1728.21507,0.000059,
1730.143882,0.000052,
1732.072693,0.00005,
1734.001505,0.000066,
1735.930316,0.000045,
1737.859128,0.000012,
1739.787939,0.000016,
1741.716751,0.000007,
1743.645562,-0.000001,
1745.574373,0.000032,
1747.503185,0.000037,
1749.431996,0.000002,
1751.360808,-0.000018,
1753.289619,-0.000025,
1755.218431,-0.000022,
1757.147242,-0.00001,
1759.076054,-0.000013,
1761.004865,-0.000011,
1762.933677,-0.000011,
1764.862488,-0.000035,
1766.7913,-0.000044,
1768.720111,-0.000033,
1770.648922,-0.000024,
1772.577734,-0.000024,
1774.506545,-0.00004,
1776.435357,-0.000048,
1778.364168,-0.000024,
1780.29298,0.000001,
1782.221791,-0.000007,
1784.150603,-0.000027,
1786.079414,-0.00004,
1788.008226,-0.000049,
1789.937037,-0.000049,
1791.865849,-0.000024,
1793.79466,-0.000003,
1795.723471,-0.000018,
1797.652283,-0.000024,
1799.581094,-0.000026,
1801.509906,-0.000059,
1803.438717,-0.000062,
1805.367529,-0.000028,
1807.29634,-0.000008,
1809.225152,-0.000007,
1811.153963,-0.000033,
1813.082775,-0.000045,
1815.011586,-0.000015,
1816.940398,-0.000008,
1818.869209,-0.000021,
1820.798021,0.000008,
1822.726832,0.000039,
1824.655643,0.000031,
1826.584455,0.000017,
1828.513266,0.00001,
1830.442078,0.000012,
1832.370889,0.000012,
1834.299701,0.000007,
1836.228512,0.000028,
1838.157324,0.000027,
1840.086135,-0.00002,
1842.014947,-0.000029,
1843.943758,-0.000007,
1845.87257,-0.000003,
1847.801381,0.000011,
1849.730192,0.000019,
1851.659004,0.000019,
1853.587815,0.000043,
1855.516627,0.000046,
1857.445438,-0.000001,
1859.37425,-0.000028,
1861.303061,-0.000001,
1863.231873,0.000031,
1865.160684,0.000039,
1867.089496,0.000033,
1869.018307,0.000022,
1870.947119,0.000014,
1872.87593,0.000011,
1874.804741,-0.000007,
1876.733553,-0.000028,
1878.662364,-0.000038,
1880.591176,-0.000057,
1882.519987,-0.000055,
1884.448799,-0.000039,
1886.37761,-0.000059,
1888.306422,-0.000053,
1890.235233,-0.000016,
1892.164045,-0.000004,
1894.092856,-0.000019,
1896.021668,-0.000063,
1897.950479,-0.000083,
1899.87929,-0.00005,
