wavelength,absorbance,bonds,,,absorbance,
812.029626,0.00127,aromatic C-H,,,0.00377,0.00127
813.958437,0.001233,aromatic C-H,,,0.003733,0.001233
815.887249,0.001294,aromatic C-H,,,0.003794,0.001294
817.81606,0.00134,aromatic C-H,,,0.00384,0.00134
819.744872,0.001363,aromatic C-H,,,0.003863,0.001363
821.673683,0.00144,aromatic C-H,,,0.00394,0.00144
823.602494,0.001535,aromatic C-H,,,0.004035,0.001535
825.531306,0.001634,aromatic C-H,,,0.004134,0.001634
827.460117,0.001706,aromatic C-H,,,0.004206,0.001706
829.388929,0.001717,aromatic C-H,,,0.004217,0.001717
831.31774,0.001766,aromatic C-H,,,0.004266,0.001766
833.246552,0.001969,aromatic C-H,,,0.004469,0.001969
835.175363,0.002342,aromatic C-H,,,0.004842,0.002342
837.104175,0.002756,aromatic C-H,,,0.005256,0.002756
839.032986,0.003134,aromatic C-H,,,0.005634,0.003134
840.961798,0.003302,aromatic C-H,,,0.005802,0.003302
842.890609,0.003148,aromatic C-H,,,0.005648,0.003148
844.819421,0.002969,aromatic C-H,,,0.005469,0.002969
846.748232,0.00268,aromatic C-H,,,0.00518,0.00268
848.677043,0.00219,aromatic C-H,,,0.00469,0.00219
850.605855,0.001818,aromatic C-H,,,0.004318,0.001818
852.534666,0.001519,aromatic C-H,,,0.004019,0.001519
854.463478,0.001241,aromatic C-H,,,0.003741,0.001241
856.392289,0.001141,aromatic C-H,,,0.003641,0.001141
858.321101,0.001144,aromatic C-H,,,0.003644,0.001144
860.249912,0.001106,aromatic C-H,,,0.003606,0.001106
862.178724,0.001025,aromatic C-H,,,0.003525,0.001025
864.107535,0.000969,aromatic C-H,,,0.003469,0.000969
866.036347,0.000962,aromatic C-H,,,0.003462,0.000962
867.965158,0.000991,aromatic C-H,,,0.003491,0.000991
869.89397,0.001039,aromatic C-H,,,0.003539,0.001039
871.822781,0.001042,aromatic C-H,,,0.003542,0.001042
873.751592,0.001046,aromatic C-H,,,0.003546,0.001046
875.680404,0.001109,aromatic C-H,,,0.003609,0.001109
877.609215,0.001122,aromatic C-H,,,0.003622,0.001122
879.538027,0.0011,aromatic C-H,,,0.0036,0.0011
881.466838,0.001141,aliphatic C-H,,,0.003641,0.001141
883.39565,0.001206,aliphatic C-H,,,0.003706,0.001206
885.324461,0.001242,aliphatic C-H,,,0.003742,0.001242
887.253273,0.001253,aliphatic C-H,,,0.003753,0.001253
889.182084,0.001304,aliphatic C-H,,,0.003804,0.001304
891.110896,0.001449,aliphatic C-H,,,0.003949,0.001449
893.039707,0.001652,aliphatic C-H,,,0.004152,0.001652
894.968519,0.001898,aliphatic C-H,,,0.004398,0.001898
896.89733,0.002281,aliphatic C-H,,,0.004781,0.002281
898.826141,0.002973,aliphatic C-H,,,0.005473,0.002973
900.754953,0.003973,aliphatic C-H,,,0.006473,0.003973
902.683764,0.005026,aliphatic C-H,,,0.007526,0.005026
904.612576,0.005841,aliphatic C-H,,,0.008341,0.005841
906.541387,0.006187,aliphatic C-H,,,0.008687,0.006187
908.470199,0.005932,aliphatic C-H,,,0.008432,0.005932
910.39901,0.005143,aliphatic C-H,,,0.007643,0.005143
912.327822,0.004119,aliphatic C-H,,,0.006619,0.004119
914.256633,0.003169,aliphatic C-H,,,0.005669,0.003169
916.185445,0.00248,aliphatic C-H,,,0.00498,0.00248
918.114256,0.002034,aliphatic C-H,,,0.004534,0.002034
920.043068,0.001709,aliphatic C-H,,,0.004209,0.001709
921.971879,0.001503,aliphatic C-H,,,0.004003,0.001503
923.90069,0.001387,aliphatic C-H,,,0.003887,0.001387
925.829502,0.00131,aliphatic C-H,,,0.00381,0.00131
927.758313,0.001257,aliphatic C-H,,,0.003757,0.001257
929.687125,0.001219,aliphatic C-H,,,0.003719,0.001219
931.615936,0.001294,aliphatic C-H,,,0.003794,0.001294
933.544748,0.001471,aliphatic C-H,,,0.003971,0.001471
935.473559,0.001656,aliphatic C-H,,,0.004156,0.001656
937.402371,0.001833,aliphatic C-H,,,0.004333,0.001833
939.331182,0.001972,aliphatic C-H,,,0.004472,0.001972
941.259994,0.002056,aliphatic C-H,,,0.004556,0.002056
943.188805,0.00206,aliphatic C-H,,,0.00456,0.00206
945.117617,0.001981,aliphatic C-H,,,0.004481,0.001981
947.046428,0.001862,aliphatic C-H,,,0.004362,0.001862
948.97524,0.001717,aliphatic C-H,,,0.004217,0.001717
950.904051,0.001616,aliphatic C-H,,,0.004116,0.001616
952.832862,0.001593,aliphatic C-H,,,0.004093,0.001593
954.761674,0.001599,aliphatic C-H,,,0.004099,0.001599
956.690485,0.001672,aliphatic C-H,,,0.004172,0.001672
958.619297,0.00191,aliphatic C-H,,,0.00441,0.00191
960.548108,0.002274,aliphatic C-H,,,0.004774,0.002274
