wavelength,absorbance,bonds,,,,,,,
877.609215,0.021791,aromatic C-H,,,,,,,
879.538027,0.018914,aromatic C-H,,,,,,,
881.466838,0.016306,aromatic C-H,,,,,,,
883.39565,0.014314,aromatic C-H,,,,,,,
885.324461,0.012918,aromatic C-H,,,,,,,
887.253273,0.012,aromatic C-H,,,,,,,
889.182084,0.011426,aromatic C-H,,,,,,,
891.110896,0.011153,aromatic C-H,,,,,,,
893.039707,0.011164,aromatic C-H,,,,,,,
894.968519,0.01125,aromatic C-H,,,,,,,
896.89733,0.011196,aromatic C-H,,,,,,,
898.826141,0.010926,aromatic C-H,,,,,,,
900.754953,0.01036,aromatic C-H,,,,,,,
902.683764,0.00941,aromatic C-H,,,,,,,
904.612576,0.00811,aromatic C-H,,,,,,,
906.541387,0.006631,aromatic C-H,,,,,,,
908.470199,0.005241,aromatic C-H,,,,,,,
910.39901,0.004127,aromatic C-H,,,,,,,
912.327822,0.003259,aromatic C-H,,,,,,,
914.256633,0.002601,aromatic C-H,,,,,,,
916.185445,0.002171,aromatic C-H,,,,,,,
918.114256,0.001886,aromatic C-H,,,,,,,
920.043068,0.001684,aromatic C-H,,,,,,,
921.971879,0.001568,aromatic C-H,,,,,,,
923.90069,0.001534,aromatic C-H,,,,,,,
925.829502,0.001535,aromatic C-H,,,,,,,
927.758313,0.001511,aromatic C-H,,,,,,,
929.687125,0.001502,aromatic C-H,,,,,,,
931.615936,0.001506,,,,,,,,
933.544748,0.001437,,,,,,,,
935.473559,0.00134,,,,,,,,
937.402371,0.001295,,,,,,,,
939.331182,0.001261,,,,,,,,
941.259994,0.001195,C-H,,,,,,,
943.188805,0.001133,C-H,,,,,,,
945.117617,0.001121,C-H,,,,,,,
947.046428,0.001113,C-H,,,,,,,
948.97524,0.001105,C-H,,,,,,,
950.904051,0.00117,C-H,,,,,,,
952.832862,0.001243,C-H,,,,,,,
954.761674,0.00129,C-H,,,,,,,
956.690485,0.001393,C-H,,,,,,,
958.619297,0.00155,C-H,,,,,,,
960.548108,0.001756,C-H,,,,,,,
962.47692,0.002035,C-H,,,,,,,
964.405731,0.00239,C-H,,,,,,,
966.334543,0.002791,C-H,,,,,,,
968.263354,0.00316,C-H,,,,,,,
970.192166,0.003456,C-H,,,,,,,
972.120977,0.003662,C-H,,,,,,,
974.049789,0.003715,C-H,,,,,,,
975.9786,0.003611,C-H,,,,,,,
977.907411,0.003445,C-H,,,,,,,
979.836223,0.003256,C-H,,,,,,,
981.765034,0.003036,C-H,,,,,,,
983.693846,0.00279,C-H,,,,,,,
985.622657,0.002542,C-H,,,,,,,
987.551469,0.002348,C-H,,,,,,,
989.48028,0.002209,C-H,,,,,,,
991.409092,0.002105,C-H,,,,,,,
993.337903,0.002039,C-H,,,,,,,
995.266715,0.001891,C-H,,,,,,,
997.195526,0.001787,C-H,,,,,,,
999.124338,0.001761,C-H,,,,,,,
1001.053149,0.001825,C-O,,,,,,,
1002.98196,0.002024,C-O,,,,,,,
1004.910772,0.002495,C-O,,,,,,,
1006.839583,0.003601,C-O,,,,,,,
1008.768395,0.005821,C-O,,,,,,,
1010.697206,0.009825,C-O,,,,,,,
1012.626018,0.018112,C-O,,,,,,,
1014.554829,0.032419,C-O,,,,,,,
1016.483641,0.045615,C-O,,,,,,,
1018.412452,0.046557,C-O,,,,,,,
1020.341264,0.036277,C-O,,,,,,,
1022.270075,0.024911,C-O,,,,,,,
1024.198887,0.017878,C-O,,,,,,,
1026.127698,0.014737,C-O,,,,,,,
1028.056509,0.013733,C-O,,,,,,,
1029.985321,0.013661,C-O,,,,,,,
1031.914132,0.01392,C-O,,,,,,,
1033.842944,0.014358,C-O,,,,,,,
1035.771755,0.015081,C-O,,,,,,,
1037.700567,0.016066,C-O,,,,,,,
1039.629378,0.017064,C-O,,,,,,,
1041.55819,0.017678,C-O,,,,,,,
1043.487001,0.017597,C-O,,,,,,,
1045.415813,0.016763,C-O,,,,,,,
1047.344624,0.015219,C-O,,,,,,,
1049.273436,0.013127,C-O,,,,,,,
1051.202247,0.010796,C-O,,,,,,,
1053.131058,0.008462,C-O,,,,,,,
1055.05987,0.006318,C-O,,,,,,,
1056.988681,0.004584,C-O,,,,,,,
1058.917493,0.003498,C-O,,,,,,,
1060.846304,0.002919,C-O,,,,,,,
1062.775116,0.002802,C-O,,,,,,,
1064.703927,0.003111,C-O,,,,,,,
1066.632739,0.003732,C-O,,,,,,,
1068.56155,0.004637,C-O,,,,,,,
1070.490362,0.006057,C-O,,,,,,,
1072.419173,0.008241,C-O,,,,,,,
1074.347985,0.011391,C-O,,,,,,,
1076.276796,0.015737,C-O,,,,,,,
1078.205607,0.021488,C-O,,,,,,,
1080.134419,0.028752,C-O,,,,,,,
1082.06323,0.037274,C-O,,,,,,,
1083.992042,0.046716,C-O,,,,,,,
1085.920853,0.057348,C-O,,,,,,,
1087.849665,0.069759,C-O,,,,,,,
1089.778476,0.084049,C-O,,,,,,,
1091.707288,0.099258,C-O,,,,,,,
1093.636099,0.113174,C-O,,,,,,,
1095.564911,0.12305,C-O,,,,,,,
1097.493722,0.126816,C-O,,,,,,,
1099.422534,0.123855,C-O,,,,,,,
1101.351345,0.115267,C-O,,,,,,,
1103.280156,0.103482,C-O,,,,,,,
1105.208968,0.091008,C-O,,,,,,,
1107.137779,0.079655,C-O,,,,,,,
1109.066591,0.071023,C-O,,,,,,,
1110.995402,0.066719,C-O,,,,,,,
1112.924214,0.067109,C-O,,,,,,,
1114.853025,0.070391,C-O,,,,,,,
1116.781837,0.073708,C-O,,,,,,,
1118.710648,0.074856,C-O,,,,,,,
1120.63946,0.072899,C-O,,,,,,,
1122.568271,0.068167,C-O,,,,,,,
1124.497083,0.061935,C-O,,,,,,,
1126.425894,0.055635,C-O,,,,,,,
1128.354706,0.050189,C-O,,,,,,,
1130.283517,0.045896,C-O,,,,,,,
1132.212328,0.042538,C-O,,,,,,,
1134.14114,0.039647,C-O,,,,,,,
1136.069951,0.036836,C-O,,,,,,,
1137.998763,0.033824,C-O,,,,,,,
1139.927574,0.030438,C-O,,,,,,,
1141.856386,0.026701,C-O,,,,,,,
1143.785197,0.022726,C-O,,,,,,,
1145.714009,0.018736,C-O,,,,,,,
1147.64282,0.01506,C-O,,,,,,,
1149.571632,0.011868,C-O,,,,,,,
1151.500443,0.009179,C-O,,,,,,,
1153.429255,0.007026,C-O,,,,,,,
1155.358066,0.005398,C-O,,,,,,,
1157.286877,0.00425,C-O,,,,,,,
1159.215689,0.003485,C-O,,,,,,,
1161.1445,0.002979,C-O,,,,,,,
1163.073312,0.002733,C-O,,,,,,,
1165.002123,0.002822,C-O,,,,,,,
1166.930935,0.003328,C-O,,,,,,,
1168.859746,0.004232,C-O,,,,,,,
1170.788558,0.005282,C-O,,,,,,,
1172.717369,0.006076,C-O,,,,,,,
1174.646181,0.006259,C-O,,,,,,,
1176.574992,0.005762,C-O,,,,,,,
1178.503804,0.00479,C-O,,,,,,,
1180.432615,0.00361,C-O,,,,,,,
1182.361426,0.002438,C-O,,,,,,,
1184.290238,0.001447,C-O,,,,,,,
1186.219049,0.000777,C-O,,,,,,,
1188.147861,0.000438,C-O,,,,,,,
1190.076672,0.000607,C-O,,,,,,,
1192.005484,0.000918,C-O,,,,,,,
1193.934295,0.001353,C-O,,,,,,,
1195.863107,0.001853,C-O,,,,,,,
1197.791918,0.002394,C-O,,,,,,,
1199.72073,0.002987,C-O,,,,,,,
1201.649541,0.003596,C-O,,,,,,,
1203.578353,0.00419,C-O,,,,,,,
1205.507164,0.0048,C-O,,,,,,,
1207.435975,0.00545,C-O,,,,,,,
1209.364787,0.00618,C-O,,,,,,,
1211.293598,0.007016,C-O,,,,,,,
1213.22241,0.007957,C-O,,,,,,,
1215.151221,0.009097,C-O,,,,,,,
1217.080033,0.010227,C-O,,,,,,,
1219.008844,0.011713,C-O,,,,,,,
1220.937656,0.013757,C-O,,,,,,,
1222.866467,0.016553,C-O,,,,,,,
1224.795279,0.020205,C-O,,,,,,,
1226.72409,0.024968,C-O,,,,,,,
1228.652902,0.031267,C-O,,,,,,,
1230.581713,0.03986,C-O,,,,,,,
1232.510524,0.051861,C-O,,,,,,,
1234.439336,0.068053,C-O,,,,,,,
1236.368147,0.087885,C-O,,,,,,,
1238.296959,0.108809,C-O,,,,,,,
1240.22577,0.127085,C-O,,,,,,,
1242.154582,0.13983,C-O,,,,,,,
1244.083393,0.146389,C-O,,,,,,,
1246.012205,0.147995,C-O,,,,,,,
1247.941016,0.146617,C-O,,,,,,,
1249.869828,0.144144,C-O,,,,,,,
1251.798639,0.142099,C-O,,,,,,,
1253.727451,0.141698,C-O,,,,,,,
1255.656262,0.143628,C-O,,,,,,,
1257.585073,0.147229,C-O,,,,,,,
1259.513885,0.150229,C-O,,,,,,,
1261.442696,0.149948,C-O,,,,,,,
1263.371508,0.145154,C-O,,,,,,,
1265.300319,0.136589,C-O,,,,,,,
1267.229131,0.12591,C-O,,,,,,,
1269.157942,0.114736,C-O,,,,,,,
1271.086754,0.104589,C-O,,,,,,,
1273.015565,0.096739,C-O,,,,,,,
1274.944377,0.091656,C-O,,,,,,,
1276.873188,0.088834,C-O,,,,,,,
